size,size_name,procs,dist_time_ms_mean,dist_time_ms_std,sort_time_ms_mean,sort_time_ms_std,total_time_ms_mean,total_time_ms_std,lb_min_time_mean,lb_min_time_std,lb_max_time_mean,lb_max_time_std,lb_avg_time_mean,lb_avg_time_std,lb_imbalance_mean,lb_imbalance_std
100000,100k,2,65.13813333333333,6.3309237567146,60.04063333333333,7.284199835488678,125.222,12.459552520054645,60.04063333333333,7.284199835488678,60.08316666666666,7.268450293104666,60.0619,7.276358427812634,0.07382296666666667,0.04304610295977248
100000,100k,4,64.57263333333333,2.912748259519403,90.30566666666667,4.048531462559398,154.935,5.686571902297556,90.30566666666667,4.048531462559398,90.36280000000001,4.07703335281918,90.34816666666667,4.069568046283696,0.06240983333333333,0.030159573550753882
100000,100k,8,66.4374,3.9798766701997144,101.8176,26.273574038565826,168.30133333333333,29.903534211416105,101.8176,26.273574038565826,101.8659,26.27619203023908,101.85796666666667,26.275262929290232,0.04877323333333333,0.01136833275213799
100000,100k,16,64.2948,0.14580847026150795,102.26026666666667,11.985191196361171,166.67433333333332,12.076617503810128,102.26026666666667,11.985191196361171,102.3827,11.93713498583308,102.36806666666666,11.940213154015858,0.12390673333333334,0.09182046803198803
100000,100k,32,62.1118,0.34397544970535604,107.12436666666666,7.623881249293781,169.29566666666668,7.936740535845506,104.42336666666667,4.314662026547776,107.26366666666667,7.624110199448416,106.53996666666667,6.637906982124213,2.481659066666667,4.083090075132413
250000,250k,2,159.07,4.066522224210746,196.71333333333334,9.34671714204155,355.84566666666666,12.704544947904797,196.71333333333334,9.34671714204155,196.778,9.379293310265968,196.74566666666666,9.362709080887502,0.0323379,0.018309096801590187
250000,250k,4,161.87533333333334,4.315288673233042,262.30333333333334,10.946461955048926,424.233,14.859410890072331,262.30333333333334,10.946461955048926,262.35766666666666,10.940702460689312,262.34366666666665,10.94233532356478,0.020867766666666666,0.0032694232738104323
250000,250k,8,163.633,6.366136740598647,284.06733333333335,9.000205905052002,447.7613333333333,9.195290334368622,284.06733333333335,9.000205905052002,284.13366666666667,8.991333623736425,284.12266666666665,8.992815873425497,0.023298533333333333,0.004576314375491846
250000,250k,16,159.06866666666667,3.666218396840732,293.20666666666665,5.930569815231378,452.37333333333333,3.6242805263022113,293.20666666666665,5.930569815231378,293.30833333333334,5.926797814446945,293.29466666666667,5.925988553257001,0.03469453333333333,0.00428304237818555
250000,250k,32,161.76566666666668,1.24551247819255,293.78633333333335,6.6670305484025745,455.62966666666665,5.738662765255785,293.78633333333335,6.6670305484025745,293.8686666666667,6.670402711481008,293.86,6.670762550113743,0.0279056,0.0030689281239546806
750000,750k,2,554.022,21.421597699518127,1605.38,66.10156125236385,2159.46,87.34792670693446,1605.38,66.10156125236385,1605.44,66.10271325747537,1605.4066666666668,66.0992695370633,0.00381382,0.0004993865000177716
750000,750k,4,527.1173333333334,14.950223621515951,1677.1466666666665,280.4602421615822,2204.31,295.1623748041068,1677.1466666666665,280.4602421615822,1677.1966666666667,280.46024216158224,1677.1833333333334,280.45822529092163,0.0029688666666666664,0.0007177498632764296
750000,750k,8,548.7826666666666,3.6411935314307793,1463.3866666666668,80.27769449438199,2012.2666666666667,83.95074289923438,1463.3866666666668,80.27769449438199,1463.4866666666667,80.32109146004761,1463.47,80.315301157376,0.006534163333333333,0.005419469595507786
750000,750k,16,546.154,2.776443048218365,1543.9966666666667,40.733183442168325,2090.2233333333334,40.30343078862308,1543.9966666666667,40.733183442168325,1544.0766666666666,40.74317775202772,1544.0633333333333,40.738083329156844,0.004952263333333333,0.0002175154896400102
750000,750k,32,564.5206666666667,27.01945440480496,1450.0166666666667,107.34354304443899,2014.64,101.8464039620447,1450.0166666666667,107.34354304443899,1450.1266666666666,107.34148048789599,1450.1133333333332,107.34327428084796,0.007955676666666666,0.0008469682955302005
2000000,2M,2,1349.3033333333333,6.68623461548682,9779.33,368.609131330194,11128.733333333334,374.7748701998751,9779.33,368.609131330194,9779.423333333332,368.60496121638533,9779.36,368.5889467957495,0.001133331,0.0003542018412755642
2000000,2M,4,1544.2833333333333,61.05101009265396,11956.866666666667,503.84005729331716,13501.233333333334,453.3783666357862,11956.866666666667,503.84005729331716,11956.966666666667,503.84005729331716,11956.933333333332,503.87330087367525,0.0005478523333333333,9.914901222066374e-05
2000000,2M,8,1977.6133333333332,314.0643173512924,12525.366666666667,1226.5948366650384,14503.133333333333,1042.9977628611355,12525.366666666667,1226.5948366650384,12525.533333333333,1226.6075873454117,12525.466666666667,1226.554704582446,0.0012911693333333334,0.0008507533841991657
2000000,2M,16,1715.5366666666666,253.2276983928364,12231.266666666666,957.0098710741352,13946.933333333332,1208.9244076175041,12231.266666666666,957.0098710741352,12231.4,956.9772149847666,12231.333333333334,957.0347764492856,0.0010824246666666665,0.00040956408816000134
2000000,2M,32,1566.8466666666666,18.35681435689034,11847.333333333334,167.91528618125673,13414.6,159.1080136259645,11847.333333333334,167.91528618125673,11847.866666666667,168.17087540157806,11847.766666666666,168.07835474365322,0.004392356666666666,0.00231120149516076
5000000,5M,2,3740.1766666666667,7.37635637244663,58907.5,5913.206597946662,62647.83333333333,5920.634953561428,58907.5,5913.206597946662,58907.66666666667,5913.242244600957,58907.6,5913.206597946667,0.0002769883333333333,0.0001290702875852275
5000000,5M,4,3973.5233333333335,21.64897765099609,68238.56666666667,3936.1257936368524,72212.23333333334,3937.664714438412,68238.56666666667,3936.1257936368524,68238.66666666666,3936.1257936368484,68238.66666666666,3936.1257936368484,0.00013184366666666667,2.0669113027252395e-06
5000000,5M,8,4555.943333333334,60.34242647866716,75888.1,7550.863642657044,80444.1,7508.528967114664,75888.1,7550.863642657044,75888.16666666667,7550.893036809176,75888.13333333333,7550.835305006551,0.00011325033333333334,1.2051678901021774e-05
5000000,5M,16,4658.473333333333,22.836445286719787,71272.43333333333,1101.4747039007882,75931.1,1113.7849119107334,71272.43333333333,1101.4747039007882,71272.66666666666,1101.4946950999492,71272.63333333333,1101.489692794867,0.0003509993333333333,0.0003133415389017762
5000000,5M,32,4583.856666666667,43.815625447246134,75280.2,3321.243416252413,79864.66666666666,3325.250315891021,75280.2,3321.243416252413,75281.0,3321.243416252413,75280.73333333334,3321.5003933965345,0.0010226503333333333,2.8238906146190024e-05
